Date,Time,TxnCode,OfficeID,Country,Origin,Destination,RoundTrip,NbSegments,Seg1Departure,Seg1Arrival,Seg1Date,Seg1Carrier,Seg1BookingCode,Seg2Departure,Seg2Arrival,Seg2Date,Seg2Carrier,Seg2BookingCode,Seg3Departure,Seg3Arrival,Seg3Date,Seg3Carrier,Seg3BookingCode,Seg4Departure,Seg4Arrival,Seg4Date,Seg4Carrier,Seg4BookingCode,Seg5Departure,Seg5Arrival,Seg5Date,Seg5Carrier,Seg5BookingCode,Seg6Departure,Seg6Arrival,Seg6Date,Seg6Carrier,Seg6BookingCode,From,IsPublishedForNeg,IsFromInternet,IsFromVista,TerminalID,InternetOffice,Number_of_flights,Booking
2013-01-26,16:47:45,FQD,bb47a993970803b73d73dc996dc7b07f,FR,MRU,PAR,1.0,2.0,MRU,PAR,2013-01-31,,,PAR,MRU,2013-01-31,,,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,d41d8cd98f00b204e9800998ecf8427e,PAR,0.0,0.0
2013-03-27,23:17:47,MPT,d26e9191ab026020c64c32fe96087ebe,SE,GOT,DXB,1.0,2.0,GOT,DXB,2013-10-16,JJ,,DXB,GOT,2013-10-29,JJ,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,STO,0.0,0.0
2013-03-26,19:44:31,MPT,624d8c3ac0b3a7ca03e3c167e0f48327,DE,NYC,PAR,0.0,1.0,NYC,PAR,2013-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,FRA,0.0,0.0
2013-07-19,17:05:44,MPT,626ec45e8b1ba8e5ff209c0741e5347a,IE,DUB,AMS,1.0,2.0,DUB,AMS,2013-07-26,,,AMS,DUB,2013-07-30,,,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,d41d8cd98f00b204e9800998ecf8427e,DUB,0.0,0.0
2013-02-04,16:05:39,FFP,53aea156edeed571bbc473c82b01ac4b,BR,GRU,BUE,1.0,2.0,GRU,BUE,2013-03-13,,,BUE,GRU,2013-03-20,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,SAO,0.0,0.0
2013-09-22,19:57:39,MPT,25abb7ad4526d23ce71ee53ab80140f5,US,NYC,LIM,1.0,2.0,NYC,LIM,2013-09-27,KM,,LIM,NYC,2013-10-05,KM,,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,d41d8cd98f00b204e9800998ecf8427e,0,0.0,0.0
2013-04-04,20:59:22,MTC,236cbf458f79dbb9d5e9c9430438c3db,US,LIM,BNA,0.0,1.0,LIM,BNA,2013-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,HPN,0.0,0.0
2013-04-10,20:57:57,MPT,440642a9bdaeb6287f826cefd73255e8,US,NYC,VCE,1.0,2.0,NYC,VCE,2013-07-22,,,VCE,NYC,2013-08-05,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,HPN,0.0,0.0
2013-07-14,03:21:55,MPT,a9366b68d5cbaa9526de6308cd398363,CA,YTO,MAN,1.0,2.0,YTO,MAN,2013-07-17,KK,,MAN,YTO,2013-08-23,KK,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,YKX,0.0,0.0
2013-05-21,03:20:33,MPT,d187d3989eb3791d35d7fd43e8dfbd42,AU,MEL,HAN,1.0,2.0,MEL,HAN,2014-01-10,,,HAN,MEL,2014-01-31,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,BNE,0.0,0.0
